Approved Symbol	Synonyms	UniProt ID(supplied by UniProt)
ATF4	TAXREB67, CREB-2	P18848
ATF4P4		
ATF4P3		
ATF4P1	TAXREB67P	
ATF5		Q9Y2D1
ATF6	ATF6A	P18850
ATF7	ATFA	P17544
ATHS	ALP	
ATIC	PURH, AICARFT, IMPCHASE	P31939
ATM	TEL1, TELO1	Q13315
ATOH1	HATH1, MATH-1, Math1, bHLHa14	Q92858
ATOX1	HAH1	O00244
ATP1A1		P05023
ATP1A2	FHM2	P50993
ATP1A3		P13637
ATP1B1		P05026
ATP1B2	AMOG	P14415
ATP1B3	FLJ29027, CD298	P54709
ATP1B3P1		
ATP1B4		Q9UN42
ATP1B1P1		
ATP2A1	SERCA1	O14983
ATP2A2	SERCA2	P16615
ATP2A3	SERCA3	Q93084
ATP2B1	PMCA1	P20020
ATP2B2	PMCA2	Q01814
ATP2B3	PMCA3, CFAP39	Q16720
ATP2B4	PMCA4	P23634
ATP4A	ATP6A	P20648
ATP4B	ATP6B	P51164
ATP5A1	ATP5A, hATP1, OMR, ORM	P25705
ATP5A1P5		
ATP5A1P1		
ATP5A1P2		
ATP5A1P3		
ATP5B		P06576
ATP5BP1	ATPMBL1	
ATP5C1		P36542
ATP5C1P1		
ATP5D		P30049
ATP5E		P56381
ATP5EP1		
ATP5F1		P24539
ATP5G1		P05496
ATP5G2		Q06055
ATP5G3		P48201
ATP5G2P1		
ATP5H	ATPQ, ATP5JD	O75947
ATP5I		P56385
ATP5J	CF6	P18859
ATP5J2	F1Fo-ATPase, ATP5JL	P56134
ATP5J2LP		
ATP5O	OSCP, ATPO	P48047
ATP6V1A	Vma1, VA68	P38606
ATP6V1B1	VATB, RTA1B, Vma2	P15313
ATP6V1B2	VATB, Vma2, HO57	P21281
ATP6V0C	VATL, Vma3	P27449
ATP6V1C1	VATC, Vma5	P21283
ATP6V1E1	P31, Vma4, ATP6E2	P36543
ATP6V1E1P3		
ATP6V1E1P1		
ATP6V1E1P2		
ATP6V0B	VMA16, HATPL	Q99437
ATP6V1G2	Vma10, NG38, Em:AC004181.3	O95670
ATP6V0E1	M9.2	O15342
ATP6V1G1	ATP6GL, Vma10, ATP6G, DKFZp547P234	O75348
ATP6V0A1	a1, Vph1, Stv1	Q93050
ATP6V0A4	RDRTA2, VPP2, RTADR, a4, Vph1, Stv1	Q9HBG4
ATP6AP1	ORF, XAP-3, VATPS1, 16A, Ac45, XAP3, CF2	Q15904
ATP7A		Q04656
ATP7B		P35670
ATPIF1	ATPI, IP, ATPIP, MGC1167, MGC8898	Q9UII2
ALDH7A1	EPD, PDE	P49419
ALDH7A1P1		
ALDH7A1P2		
ALDH7A1P3		
ALDH7A1P4		
ATR	FRP1, SCKL, SCKL1, MEC1	Q13535
ATRN	DPPT-L, MGCA	O75882
ATRX	XH2, XNP	P46100
KIF1A	UNC104	Q12756
AUH		Q13825
AUP1		Q9Y679
AUTS1		
AVP	ADH	P01185
